,ID,bed,bath,acre_lot,state,zip_code,house_size,prev_sold_date,price,price_per_sqfoot,month
8259,518813,2.0,1.0,0.19,New Jersey,7422,670.0,2021-07-08 00:00:00.000000,325000.0,485.0,2021-07
8260,518828,4.0,2.0,1.6,New York,10990,2088.0,2021-04-19 00:00:00.000000,695000.0,333.0,2021-04
8261,518931,5.0,4.0,0.63,New York,10901,3750.0,2021-05-26 00:00:00.000000,799000.0,213.0,2021-05
8262,519131,4.0,4.0,0.53,New York,10989,2790.0,2021-03-23 00:00:00.000000,879000.0,315.0,2021-03
8263,519176,3.0,1.0,1.8,New York,10956,1414.0,2021-10-25 00:00:00.000000,699000.0,494.0,2021-10
8264,519183,4.0,4.0,0.17,New Jersey,7424,2750.0,2021-12-08 00:00:00.000000,749000.0,272.0,2021-12
8265,519286,4.0,5.0,0.59,New York,10520,4277.0,2021-08-03 00:00:00.000000,1199785.0,281.0,2021-08
8266,519465,6.0,6.0,0.22,New Jersey,7652,10312.0,2021-10-04 00:00:00.000000,1699000.0,165.0,2021-10
8267,519525,2.0,1.0,0.92,New York,10025,974.0,2021-08-24 00:00:00.000000,1460000.0,1499.0,2021-08
8268,519683,5.0,3.0,0.38,New Jersey,7470,3260.0,2021-09-14 00:00:00.000000,750000.0,230.0,2021-09
8269,520575,3.0,3.0,0.96,New York,10596,2200.0,2021-11-18 00:00:00.000000,625000.0,284.0,2021-11
8270,520740,3.0,2.0,0.61,New York,10982,1916.0,2021-12-31 00:00:00.000000,800000.0,418.0,2021-12
8271,520751,4.0,3.0,0.07,New Jersey,7104,1620.0,2021-10-18 00:00:00.000000,599000.0,370.0,2021-10
8272,520988,6.0,4.0,0.23,New Jersey,7501,2208.0,2021-03-18 00:00:00.000000,599000.0,271.0,2021-03
8273,521074,4.0,3.0,0.33,New York,10968,2500.0,2021-04-16 00:00:00.000000,979000.0,392.0,2021-04
8274,521221,3.0,2.0,0.06,New Jersey,7306,1178.0,2021-04-21 00:00:00.000000,800000.0,679.0,2021-04
8275,521270,4.0,3.0,0.06,New Jersey,7508,1600.0,2021-08-05 00:00:00.000000,350000.0,219.0,2021-08
8276,521290,4.0,3.0,0.14,New Jersey,7032,1830.0,2021-03-24 00:00:00.000000,550000.0,301.0,2021-03
8277,521316,3.0,2.0,0.37,New York,10965,1640.0,2021-09-01 00:00:00.000000,549000.0,335.0,2021-09
8278,521473,3.0,3.0,0.76,New York,10977,2163.0,2022-01-19 00:00:00.000000,799000.0,369.0,2022-01
8279,521861,5.0,5.0,1.94,New York,10980,3800.0,2021-11-05 00:00:00.000000,1099999.0,289.0,2021-11
8280,521891,2.0,2.0,0.11,New Jersey,7644,1300.0,2022-01-07 00:00:00.000000,440000.0,338.0,2022-01
8281,522052,5.0,5.0,0.18,New Jersey,7070,6500.0,2021-04-06 00:00:00.000000,1250000.0,192.0,2021-04
8282,522119,6.0,6.0,0.29,New Jersey,7028,4328.0,2021-03-02 00:00:00.000000,1850000.0,427.0,2021-03
8283,522124,5.0,5.0,0.22,New York,10520,4425.0,2021-08-04 00:00:00.000000,1400000.0,316.0,2021-08
8284,522235,4.0,5.0,1.03,New Jersey,7470,4693.0,2021-08-16 00:00:00.000000,899000.0,192.0,2021-08
8285,522259,4.0,3.0,0.57,New York,10901,1487.0,2021-06-28 00:00:00.000000,799900.0,538.0,2021-06
8286,522263,4.0,2.0,0.12,New Jersey,7003,2800.0,2021-03-24 00:00:00.000000,675000.0,241.0,2021-03
8287,522395,3.0,2.0,0.12,New York,10977,1174.0,2021-05-13 00:00:00.000000,499000.0,425.0,2021-05
8288,522517,5.0,4.0,1.88,New York,10980,3455.0,2021-11-05 00:00:00.000000,1100000.0,318.0,2021-11
8289,522904,5.0,4.0,0.17,New Jersey,7028,2665.0,2021-09-22 00:00:00.000000,775000.0,291.0,2021-09
8290,523008,7.0,3.0,0.06,New Jersey,7522,2500.0,2021-04-07 00:00:00.000000,439000.0,176.0,2021-04
8291,523029,2.0,2.0,0.11,New Jersey,7506,1460.0,2021-08-02 00:00:00.000000,399900.0,274.0,2021-08
8292,523411,8.0,4.0,0.17,New York,10703,3100.0,2021-03-17 00:00:00.000000,975000.0,315.0,2021-03
8293,523806,4.0,2.0,0.34,New York,10994,2001.0,2021-12-30 00:00:00.000000,727000.0,363.0,2021-12
8294,523926,2.0,1.0,0.17,New Jersey,7630,7501.0,2021-07-01 00:00:00.000000,399000.0,53.0,2021-07
8295,524017,6.0,3.0,0.61,New York,10977,2471.0,2021-08-20 00:00:00.000000,999000.0,404.0,2021-08
8296,524236,5.0,2.0,0.11,New York,10977,1526.0,2021-08-23 00:00:00.000000,729000.0,478.0,2021-08
8297,524471,6.0,4.0,0.31,New York,10954,3309.0,2021-10-22 00:00:00.000000,699999.0,212.0,2021-10
8298,524738,5.0,4.0,0.63,New York,10901,3750.0,2021-05-26 00:00:00.000000,799000.0,213.0,2021-05
8299,524863,3.0,2.0,0.16,New York,10548,1730.0,2021-04-12 00:00:00.000000,560000.0,324.0,2021-04
8300,524924,4.0,3.0,0.48,New York,10965,2700.0,2021-11-09 00:00:00.000000,899000.0,333.0,2021-11
8301,524990,3.0,1.0,0.06,New Jersey,7502,962.0,2021-06-03 00:00:00.000000,189999.0,198.0,2021-06
8302,525100,4.0,3.0,2.84,New Jersey,7460,2755.0,2021-06-24 00:00:00.000000,500000.0,181.0,2021-06
8303,525130,3.0,2.0,0.6,New Jersey,7461,1504.0,2021-03-04 00:00:00.000000,299900.0,199.0,2021-03
8304,525233,3.0,1.0,0.06,New Jersey,7502,962.0,2021-06-03 00:00:00.000000,189999.0,198.0,2021-06
8305,525250,3.0,2.0,0.37,New York,10950,2837.0,2021-03-15 00:00:00.000000,699900.0,247.0,2021-03
8306,525286,3.0,1.0,0.06,New Jersey,7502,962.0,2021-06-03 00:00:00.000000,189999.0,198.0,2021-06
8307,525544,5.0,3.0,0.38,New Jersey,7470,3260.0,2021-09-14 00:00:00.000000,750000.0,230.0,2021-09
8308,525662,6.0,4.0,0.23,New Jersey,7501,2208.0,2021-03-18 00:00:00.000000,599000.0,271.0,2021-03
8309,525689,4.0,2.0,0.06,New Jersey,7107,19998.0,2021-03-02 00:00:00.000000,298000.0,15.0,2021-03
8310,525717,5.0,5.0,0.6,New Jersey,7045,4933.0,2021-12-10 00:00:00.000000,1299990.0,264.0,2021-12
8311,525763,3.0,2.0,0.06,New Jersey,7306,1178.0,2021-04-21 00:00:00.000000,800000.0,679.0,2021-04
8312,525840,2.0,2.0,0.19,New York,10463,1300.0,2021-08-24 00:00:00.000000,439000.0,338.0,2021-08
8313,525920,4.0,3.0,0.06,New Jersey,7508,1600.0,2021-08-05 00:00:00.000000,350000.0,219.0,2021-08
8314,525935,4.0,3.0,0.14,New Jersey,7032,1830.0,2021-03-24 00:00:00.000000,550000.0,301.0,2021-03
8315,526204,3.0,3.0,0.76,New York,10977,2163.0,2022-01-19 00:00:00.000000,799000.0,369.0,2022-01
8316,526385,4.0,3.0,0.15,New Jersey,7424,1308.0,2021-06-03 00:00:00.000000,469000.0,359.0,2021-06
8317,527102,1.0,1.0,0.11,New York,10011,1100.0,2021-06-14 00:00:00.000000,1680000.0,1527.0,2021-06
8318,527176,5.0,5.0,0.18,New Jersey,7070,6500.0,2021-04-06 00:00:00.000000,1250000.0,192.0,2021-04
8319,527260,6.0,6.0,0.29,New Jersey,7028,4328.0,2021-03-02 00:00:00.000000,1850000.0,427.0,2021-03
8320,527450,4.0,5.0,1.03,New Jersey,7470,4693.0,2021-08-16 00:00:00.000000,899000.0,192.0,2021-08
8321,527492,4.0,2.0,0.12,New Jersey,7003,2800.0,2021-03-24 00:00:00.000000,675000.0,241.0,2021-03
8322,528214,5.0,4.0,0.17,New Jersey,7028,2665.0,2021-09-22 00:00:00.000000,775000.0,291.0,2021-09
8323,528382,8.0,4.0,0.03,New York,10457,2340.0,2022-01-28 00:00:00.000000,799000.0,341.0,2022-01
8324,528411,5.0,3.0,0.13,New Jersey,7018,1874.0,2021-10-13 00:00:00.000000,395000.0,211.0,2021-10
8325,528446,7.0,3.0,0.06,New Jersey,7522,2500.0,2021-04-07 00:00:00.000000,439000.0,176.0,2021-04
8326,528520,2.0,2.0,0.11,New Jersey,7506,1460.0,2021-08-02 00:00:00.000000,399900.0,274.0,2021-08
8327,529169,8.0,4.0,0.17,New York,10703,3100.0,2021-03-17 00:00:00.000000,975000.0,315.0,2021-03
8328,529214,4.0,4.0,0.13,New Jersey,7014,2200.0,2021-03-09 00:00:00.000000,899000.0,409.0,2021-03
8329,529244,2.0,1.0,0.17,New Jersey,7630,7501.0,2021-07-01 00:00:00.000000,399000.0,53.0,2021-07
8330,529505,3.0,3.0,0.04,New York,10458,1296.0,2022-01-07 00:00:00.000000,599000.0,462.0,2022-01
8331,530875,5.0,3.0,0.04,New York,10459,2280.0,2022-01-26 00:00:00.000000,849000.0,372.0,2022-01
8332,530951,5.0,4.0,0.63,New York,10901,3750.0,2021-05-26 00:00:00.000000,799000.0,213.0,2021-05
8333,531238,4.0,3.0,0.48,New York,10965,2700.0,2021-11-09 00:00:00.000000,899000.0,333.0,2021-11
