,status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price,month
611776,for_sale,3.0,3.0,3.84,Atco,New Jersey,8004.0,2192.0,2022-02-24,435000.0,2022-02
611782,for_sale,3.0,2.0,0.46,Atco,New Jersey,8004.0,1250.0,2021-11-10,259900.0,2021-11
611793,for_sale,4.0,2.0,0.21,Atco,New Jersey,8004.0,1584.0,2022-02-22,339900.0,2022-02
611830,for_sale,5.0,6.0,0.24,Barnegat Light,New Jersey,8006.0,3045.0,2021-05-14,2499000.0,2021-05
611833,for_sale,5.0,5.0,0.15,Barnegat Light,New Jersey,8006.0,2600.0,2021-08-26,2249000.0,2021-08
611880,for_sale,5.0,5.0,0.1,Long Beach Township,New Jersey,8008.0,3042.0,2021-06-10,4250000.0,2021-06
611882,for_sale,8.0,10.0,0.12,Long Beach Township,New Jersey,8008.0,4000.0,2022-02-01,2400000.0,2022-02
611883,for_sale,5.0,6.0,0.22,Long Beach Township,New Jersey,8008.0,4551.0,2021-11-15,6499000.0,2021-11
611885,for_sale,5.0,5.0,0.1,Long Beach Township,New Jersey,8008.0,2687.0,2021-12-17,2750000.0,2021-12
611896,for_sale,3.0,3.0,1.12,Hopatcong,New Jersey,7843.0,2200.0,2021-03-15,370000.0,2021-03
611970,for_sale,3.0,2.0,8244.0,Barnegat,New Jersey,8005.0,2015.0,2021-12-14,535845.0,2021-12
611980,for_sale,3.0,2.0,0.21,Barnegat,New Jersey,8005.0,1388.0,2022-02-25,299000.0,2022-02
612004,for_sale,4.0,4.0,0.11,Beach Haven,New Jersey,8008.0,2355.0,2021-03-15,1495000.0,2021-03
612012,for_sale,5.0,4.0,0.18,Ship Bottom,New Jersey,8008.0,2751.0,2021-04-06,1999000.0,2021-04
612019,for_sale,6.0,5.0,0.29,Long Beach Township,New Jersey,8008.0,3200.0,2021-12-21,2800000.0,2021-12
612026,for_sale,5.0,5.0,0.14,Beach Haven,New Jersey,8008.0,3243.0,2021-03-18,2950000.0,2021-03
612027,for_sale,4.0,4.0,0.1,Beach Haven,New Jersey,8008.0,2000.0,2021-05-21,1595000.0,2021-05
612030,for_sale,4.0,4.0,0.09,Ship Bottom,New Jersey,8008.0,2000.0,2021-03-22,1799000.0,2021-03
612033,for_sale,5.0,4.0,0.1,Long Beach Township,New Jersey,8008.0,2856.0,2021-05-20,2795000.0,2021-05
612034,for_sale,5.0,5.0,0.11,Harvey Cedars,New Jersey,8008.0,2500.0,2021-06-10,2700000.0,2021-06
612036,for_sale,5.0,4.0,0.09,Long Beach Township,New Jersey,8008.0,2856.0,2021-05-12,2795000.0,2021-05
612038,for_sale,5.0,5.0,0.14,Long Beach Township,New Jersey,8008.0,3100.0,2021-03-18,2499900.0,2021-03
612076,for_sale,6.0,7.0,0.23,Long Beach Township,New Jersey,8008.0,3850.0,2021-03-25,3849000.0,2021-03
612078,for_sale,5.0,5.0,0.16,Ship Bottom,New Jersey,8008.0,3000.0,2021-05-11,2749000.0,2021-05
612079,for_sale,6.0,4.0,0.1,Long Beach Township,New Jersey,8008.0,2749.0,2021-10-01,2350000.0,2021-10
612080,for_sale,5.0,6.0,0.11,Surf City,New Jersey,8008.0,3689.0,2021-05-03,3595000.0,2021-05
